Distance_(mm),Gray_Value
8.1942,12.6718
8.2003,12.6476
8.2063,12.6272
8.2124,12.5695
8.2185,12.4886
8.2246,12.4736
8.2307,12.4664
8.2367,12.4423
8.2428,12.3890
8.2489,12.3858
8.2550,12.3351
8.2611,12.3378
8.2671,12.3639
8.2732,12.4859
8.2793,12.6130
8.2854,12.7812
8.2914,12.8809
8.2975,12.9648
8.3036,13.0436
8.3097,13.0085
8.3158,12.9942
8.3218,12.9649
8.3279,12.9391
8.3340,12.9085
8.3401,12.8320
8.3462,12.7052
8.3522,12.5697
8.3583,12.4221
8.3644,12.3050
8.3705,12.2700
8.3766,12.2340
8.3826,12.1547
8.3887,12.0862
8.3948,12.1084
8.4009,12.0550
8.4069,12.0234
8.4130,12.0367
8.4191,12.0674
8.4252,12.1405
